CODE,UZ,RU,EN,
hosp-trans,Boshqa shifoxonadan o‘tkazilgan,Переведен из другой больницы,Transferred from other hospital,fhir
born,Tibbiyot muassasasida tug'ildi,Родился в больнице,Born in hospital,
psych,Ruhiy kasalliklar shifoxonasidan,Из психиатрической больницы,From psychiatric hospital,
other,Boshqa,Другое,Other,
mserv-0003-00001,Uydan,Из дома,From home,our
mserv-0003-00002,Dispanserdan,Из диспансера,From dispensary,
mserv-0003-00003,Shifoxonadan,Из больницы,From hospital,
mserv-0003-00004,Ichki ishlar vazirligidan,Из Министерства внутренних дел,From the Ministry of Internal Affairs,
mserv-0003-00005,Boshqalar,Другое,Other,
mserv-0006-00001,Yo'llanmasiz,Без направления,Without referral / Self-referred,
mserv-0006-00002,Dispanser,Диспансер,Dispensary,
mserv-0006-00003,Tuman psixiatriyasi,Районная психиатрия,District psychiatry service,
mserv-0006-00004,Tez tibbiy yordam,Скорая медицинская помощь,Emergency medical service,
mserv-0006-00005,Sud ajrimi asosida,По решению суда,By court decision,
mserv-0006-00006,Ekspertizaga,На экспертизу,For examination,